business_name,lic_code,street_address,business_start_date,business_end_date,Lifespan,isClosed,full_address,business_id,name,district,MA,year,latitude,longitude,tract,GEOID10,link,HC01_VC05,HC01_VC113,HC01_VC115,HC01_VC117,HC01_VC121,HC01_VC28,HC01_VC36,HC01_VC41,HC01_VC42,HC01_VC43,HC01_VC44,HC01_VC50,HC01_VC51,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC59,HC01_VC60,HC01_VC61,HC01_VC62,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC99,HC03_VC05,HC03_VC13,HC03_VC156,HC03_VC28,HC03_VC41,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC51,HC03_VC52,HC03_VC53,HC03_VC54,HC03_VC55,HC03_VC56,HC03_VC57,HC03_VC58,HC03_VC59,HC03_VC60,HC03_VC61,HC03_VC62,HC03_VC67,HC03_VC68,HC03_VC69,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80,HC03_VC81,HC03_VC82,HC03_VC83,HC03_VC84,HD01_S001,HD01_S020,HD01_S026,HD01_S045,HD01_S051,HD01_S070,HD01_S151,HD01_S169,HD01_S170,HD01_S171,HD01_S180,HD01_S181,HD01_S184,HD02_S026,HD02_S051,HD02_S151,HD02_S170,HD02_S171,HD02_S180,HD02_S181,HD02_S184,Opening_year,Closing_year,Opening_month,Closing_month,input_string,price_level,rating,business_name.1,Q1_16_Nature_Exp,Q2_16_Nature_Exp,Q3_16_Nature_Exp,Q4_16_Nature_Exp,Q1_17_Nature_Exp,Q2_17_Nature_Exp,Q3_17_Nature_Exp,Q4_17_Nature_Exp,Q1_16_Family_Fun,Q2_16_Family_Fun,Q3_16_Family_Fun,Q4_16_Family_Fun,Q1_17_Family_Fun,Q2_17_Family_Fun,Q3_17_Family_Fun,Q4_17_Family_Fun,Q1_16_Healthy_Lifestyle,Q2_16_Healthy_Lifestyle,Q3_16_Healthy_Lifestyle,Q4_16_Healthy_Lifestyle,Q1_17_Healthy_Lifestyle,Q2_17_Healthy_Lifestyle,Q3_17_Healthy_Lifestyle,Q4_17_Healthy_Lifestyle,Q1_16_Nightlife_Hotspot,Q2_16_Nightlife_Hotspot,Q3_16_Nightlife_Hotspot,Q4_16_Nightlife_Hotspot,Q1_17_Nightlife_Hotspot,Q2_17_Nightlife_Hotspot,Q3_17_Nightlife_Hotspot,Q4_17_Nightlife_Hotspot,Q1_16_Artsy,Q2_16_Artsy,Q3_16_Artsy,Q4_16_Artsy,Q1_17_Artsy,Q2_17_Artsy,Q3_17_Artsy,Q4_17_Artsy,Q1_16_Foodie,Q2_16_Foodie,Q3_16_Foodie,Q4_16_Foodie,Q1_17_Foodie,Q2_17_Foodie,Q3_17_Foodie,Q4_17_Foodie,Q1_16_Hipster,Q2_16_Hipster,Q3_16_Hipster,Q4_16_Hipster,Q1_17_Hipster,Q2_17_Hipster,Q3_17_Hipster,Q4_17_Hipster,Q1_16_Beautiful_Scenery,Q2_16_Beautiful_Scenery,Q3_16_Beautiful_Scenery,Q4_16_Beautiful_Scenery,Q1_17_Beautiful_Scenery,Q2_17_Beautiful_Scenery,Q3_17_Beautiful_Scenery,Q4_17_Beautiful_Scenery,Foodie_16,Foodie_17,lic_code_cat,district_cat,Nature_Exp,Family_Fun,Healthy_Lifestyle,Nightlife_Hotspot,Artsy,Foodie,Hipster,Beautiful_Scenery
helmand palace,"Restaurant Greater Than 2,000 Sqft",2424 van ness ave,6/18/2015,,1146,1,"2424 van ness ave, San Francisco, CA, 94109",83995,helmand palace,Polk Gulch,90,2018,37.7980002,-122.4236094,Census Tract 109,6075010900,"http://en.wikipedia.org/wiki/Polk_Gulch,_San_Francisco,_California",3335,159326,80118,1774,67574,3096,28,2050,281,640,49,31,41,107,95,267,66,350,404,955,361,208,112,147,2451,343,350,94063,134709,148930,21,80.3,5.7,5,3096,65.2,8.9,20.4,1.6,3.9,1,1.3,3.4,3,8.5,2.1,11.1,12.8,30.4,11.5,6.6,3.6,4.7,78,10.9,11.1,9.2,4.1,7.1,4.5,5.2,13.5,8,20,8.7,19.7,4320,36.6,2020,36.8,2300,36.3,668,2891,2628,263,2628,526,2102,46.8,53.2,25.4,90.9,9.1,100,20,80,2015,,6,,oasis cafe,1,4.4,anh hong phu nhuan restaurant,51.29,54.72,73.35,68.81,71.53,68.1,51.72,63.36,60.1,69.89,75.76,70.79,71.2,68.2,61.98,68.39,87.86,88.32,88.73,90.14,88.08,89.17,88.03,86.85,91.55,94.33,93.53,94.62,93.86,95.11,94.67,93.57,93.75,94.02,95.98,95.98,95.5,95.03,94.51,95.21,75.97,79.49,85.49,80,80,80,79.85,77.19,85.93,81.92,90.09,90.79,89.36,91.3,88.32,79.93,54.17,57.18,45.69,52.72,58.8,61.39,37.42,45.82,80.2375,79.26,2,53,62.86,68.28875,88.3975,93.905,94.9975,79.74875,87.205,51.64875
king of noodles,"Restaurant 1,000 - 2,000 Sqft",1639 irving st,9/30/2015,,1042,1,"1639 irving st, San Francisco, CA, 94122",85307,king of noodles,Inner Sunset,92,2018,37.763452,-122.47574,Census Tract 302.01,6075030201,http://www.sfgate.com/neighborhoods/sf/innersunset/,2369,107563,42468,1068,46369,2255,29.3,1357,326,456,43,34,86,95,19,192,134,106,233,305,665,269,76,68,1667,480,135,69267,86836,87170,4,66.5,3.7,2.2,2255,59.5,14.3,20,1.9,4.4,1.5,3.8,4.2,0.8,8.4,5.9,4.6,10.2,13.4,29.1,11.8,3.3,3,73,21,5.9,3.4,1.5,9.5,5.9,12.6,20.6,15.5,15.4,10.3,5.4,3928,37.2,1865,37.6,2063,36.8,810,1950,1842,108,1842,482,1360,47.5,52.5,44,94.5,5.5,100,26.2,73.8,2015,,9,,bow hon restaurant,1,2.8,cafe madeleine,72.7,71.35,77.71,76.07,75.5,77.39,75.75,74.21,78.59,79.49,79.58,80,79.67,79.1,79.14,79.85,91.28,92.13,92.81,93.55,93.72,94.88,91.36,91.73,92.45,92.6,93.29,95.71,94.73,95.04,95.06,93.29,93.79,92.77,95.39,96.11,94.95,95.14,92.97,93.77,74.83,78.62,77.04,79.6,79.43,80,76.63,69.98,79.93,83.46,88.32,87.43,81.59,80.48,82.88,81.18,79.25,79.3,79.95,79.68,78.22,79.88,77.22,75.08,77.5225,76.51,1,29,75.085,79.4275,92.6825,94.02125,94.36125,77.01625,83.15875,78.5725
truly mediterranean,"Restaurant Less Than 1,000 Sqft",3109 16th st,9/11/2015,,1061,1,"3109 16th st, San Francisco, CA, 94103",87631,truly mediterranean,Mission Dolores,97,2018,37.764788,-122.4222596,Census Tract 202,6075020200,,3703,62650,43084,2099,38185,3378,28.5,1856,517,734,187,13,125,194,53,489,110,220,248,498,645,509,254,52,2868,217,325,54520,78630,84001,122,71.2,7.9,17.3,3378,54.4,15.2,21.5,5.5,3.4,0.4,3.7,5.7,1.6,14.3,3.2,6.5,7.3,14.6,18.9,14.9,7.4,1.5,84.1,6.4,9.5,8.6,7.5,8.6,6.3,15.2,13.5,8.3,19.8,5,7.2,6269,36.3,3474,37.4,2795,35.1,894,3390,3228,162,3228,539,2689,55.4,44.6,27.7,95.2,4.8,100,16.7,83.3,2015,,9,,fillmore street cafe the,1,4.2,707 sutter,55.07,58.33,75.79,72.41,69.43,70.61,54.36,66.85,62.58,68.82,71.95,70.73,66.72,71.98,61.51,65.54,89.03,87.59,87.04,90.09,89.63,90.37,86.91,87.76,94.07,95.52,95.55,95.96,95.21,95.99,96.32,95.28,94.39,94.44,96.34,96.13,95.87,95.55,95.01,95.3,76.39,79.61,80,80,79.94,80.65,79.74,76.98,86.74,85.05,90.34,91.17,88.82,88.95,88.79,79.99,78.65,77.58,79.59,78.99,79.51,79.44,73.85,77.88,79,79.3275,3,40,65.35625,67.47875,88.5525,95.4875,95.37875,79.16375,87.48125,78.18625
szechuan taste restaurant inc,"Restaurant Greater Than 2,000 Sqft",917 taraval st,3/4/2015,,1252,1,"917 taraval st, San Francisco, CA, 94116",82869,szechuan taste restaurant inc,Parkside,72,2018,37.7427947,-122.4761126,Census Tract 330,6075033000,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Parkside,4526,133214,39342,790,49293,4015,29.3,2042,590,1066,182,0,166,251,174,368,254,179,496,458,815,454,204,267,2875,910,301,110486,112133,118012,22,67.1,9.7,0,4015,50,14.4,26.1,4.5,5,0,4.1,6.1,4.3,9,6.2,4.4,12.1,11.2,19.9,11.1,5,6.5,70.4,22.3,7.4,2,3,3.9,5.7,8.8,12.9,10.2,26.3,17.1,10.1,7764,42.7,3737,41.6,4027,43.8,1844,2821,2698,123,2698,1839,859,48.1,51.9,68.3,95.6,4.4,100,68.2,31.8,2015,,3,,grandehos kamekyo,2,4.4,food  liquor world inc,52.28,55.61,74.61,71.11,69.84,69.01,52.13,66.39,59.14,69.65,72.36,70.74,66.44,68.97,59.12,63.9,88.03,87.31,87.17,90.08,87.83,89.2,86.91,87.19,93.06,95.31,95.12,95.54,94.87,95.97,95.88,95.05,94.34,94.61,96.28,96.18,95.72,95.45,94.92,95.29,76.36,79.64,83.27,80,80,80.74,79.81,76.95,87.02,85.67,90.79,91.78,88.77,90.26,89.05,79.93,73.36,73.94,73.88,75.73,78.61,78.08,63.78,73.31,79.8175,79.375,2,51,63.8725,66.29,87.965,95.1,95.34875,79.59625,87.90875,73.83625
jika ramen  gold curry sushi house,,3925 irving st,7/1/2015,12/20/2017,903,0,"3925 irving st, San Francisco, CA, 94122",86670,jika ramen  gold curry sushi,Outer Sunset,76,2018,37.7623658,-122.5000665,Census Tract 351,6075035100,http://www.sfgate.com/neighborhoods/sf/outersunset/,4436,120724,38144,851,43684,4114,35,2067,666,925,315,36,337,374,149,271,188,186,520,655,657,390,300,193,3186,604,450,90114,107494,113177,75,64.9,4.1,2.5,4114,48.6,15.6,21.7,7.4,6.6,0.8,7.9,8.8,3.5,6.4,4.4,4.4,12.2,15.4,15.4,9.2,7,4.5,74.9,14.2,10.6,3.5,2.6,5.9,3.6,12.8,16.1,12.6,22.7,5.7,14.5,7842,41.1,3818,39.7,4024,42.6,1797,2895,2718,177,2718,1593,1125,48.7,51.3,66.1,93.9,6.1,100,58.6,41.4,2015,2017,7,12,fountain cafe,1,4.4,clement bbq restaurant,75.46,74,78.49,77.78,76.87,77.18,76.17,73.59,47.75,46.8,56.92,66.21,56.69,50.61,59.25,54.49,66.34,72.52,74.52,73.23,71.57,71.93,70.48,67.17,36.27,40.5,49.3,48.31,50.41,56.92,37.34,44.33,69.9,70.71,75.34,74.28,74.97,72.65,73.96,67.6,65.95,68.11,79.61,79.36,79.67,79.82,73.59,56.15,51.96,52.01,39.49,49.59,67.32,55.54,33.84,26.61,1.2,1.23,3.05,1.28,1.46,1.19,1.25,1.33,73.2575,72.3075,-1,47,76.1925,54.84,70.97,45.4225,72.42625,72.7825,47.045,1.49875
le soleil international holdings inc,"Restaurant 1,000 - 2,000 Sqft",133 clement st,4/30/2015,,1195,1,"133 clement st, San Francisco, CA, 94118",81460,le soleil international holdings inc,Inner Richmond,81.5,2018,37.7829909,-122.4606844,Census Tract 401,6075040100,http://www.sfgate.com/neighborhoods/sf/innerrichmond/,2747,121336,43829,1094,36704,2490,31,1221,423,779,61,0,77,110,35,277,48,116,293,481,581,352,141,39,2178,153,205,56812,94505,100756,98,65.8,7.2,14.3,2490,47.9,16.6,30.5,2.4,2.6,0,3,4.3,1.4,10.9,1.9,4.5,11.5,18.9,22.8,13.8,5.5,1.5,85.4,6,8,3.7,9.5,3.3,11.5,16.1,14.9,10.1,13.7,6.4,10.6,4088,38,1900,37.3,2188,38.8,822,2022,1863,159,1863,512,1351,46.5,53.5,44.1,92.1,7.9,100,27.5,72.5,2015,,4,,new tsing tao restaurant,1,4.4,youngs restaurant,67.06,75.99,79.19,76.42,73.06,79.22,70.9,77.55,78.86,76.73,78.81,79.93,79.78,78.58,78.21,78.62,90.52,91.44,90.21,90.81,92.09,93.89,90.35,90.28,92.99,93.21,93.77,95.85,92.27,93.27,95.13,93.39,91.12,90.31,93.19,92.85,93.33,92.04,91.87,92.13,74.16,79.01,79.83,79.94,79.93,80.9,79.84,76.59,79.85,80,87.41,85.17,87.28,84,80.8,79.84,74.7,77.26,78.44,79.95,78.72,76.24,76.73,79.09,78.235,79.315,1,28,74.92375,78.69,91.19875,93.735,92.105,78.775,83.04375,77.64125
toast eatery church st llc,,1748 church st,1/1/2015,,1314,1,"1748 church st, San Francisco, CA, 94131",82196,toast eatery,Noe Valley,90,2017,37.7430046,-122.4268939,Census Tract 215,6075021500,http://www.sfgate.com/neighborhoods/sf/noevalley/,3958,137340,61032,1429,55362,3656,29.1,2400,336,680,250,0,209,164,134,183,112,135,325,1018,682,378,199,182,2794,379,548,111712,127166,127495,0,86.2,5.4,0,3656,64.5,9,18.3,6.7,1.5,0,5.6,4.4,3.6,4.9,3,3.6,8.7,27.4,18.3,10.2,5.3,4.9,75.1,10.2,14.7,1,3.7,0.5,5.2,8.9,13.8,9.3,24.8,15.2,17.6,5096,37.4,2460,38.2,2636,36.5,1025,2627,2449,178,2449,1027,1422,48.3,51.7,41.9,93.2,6.8,100,41.9,58.1,2015,,1,,town hall restaurant,3,4.2,wing lum restaurant,51.97,58.52,68.44,67,72.12,68.24,55.16,62.1,64.16,65.97,74.44,70.61,72.12,71.02,66.18,70.62,89.84,90.39,90.83,90.46,89.9,90.05,90.12,87.67,87.33,91.4,90.84,91.82,91.11,91.41,91.34,90.55,91.5,91.93,94.21,93.77,93.87,93.19,92.57,93.27,75.41,78.52,82.64,80,80,80,79.44,75.88,81.04,79.97,84.49,84.51,83.33,89.71,82.68,79.23,36.93,41.35,25.54,42.81,31.59,43.54,32.34,37.73,79.1425,78.83,-1,42,62.94375,69.39,89.9075,90.725,93.03875,78.98625,83.12,36.47875
latte express #5,"Restaurant Less Than 1,000 Sqft",646 kearny st,7/9/2015,,1125,1,"646 kearny st, San Francisco, CA, 94108",84171,latte express #5,Chinatown,91,2017,37.7942257,-122.404539,Census Tract 611,6075061100,http://www.sfgate.com/neighborhoods/sf/chinatown/,1988,31141,13235,1095,11069,1658,23.7,231,788,345,115,0,82,153,28,266,32,39,22,105,204,336,337,54,1423,187,48,14270,25319,31210,141,50.6,16.6,40.3,1658,13.9,47.5,20.8,6.9,10.8,0,4.9,9.2,1.7,16,1.9,2.4,1.3,6.3,12.3,20.3,20.3,3.3,85.8,11.3,2.9,21.9,31.1,21.4,7.9,7.4,6.2,0.9,0.4,2.1,0.8,4307,55.2,2077,54,2230,55.8,1126,2351,2135,216,2135,78,2057,48.2,51.8,52.7,90.8,9.2,100,3.7,96.3,2015,,7,,cafe bellini,2,3.6,cafe 24,66.21,63.05,69.75,70.52,71.45,74.68,72.46,63.61,66.64,72.02,70.84,73.69,71.25,67.36,68.28,68.01,83.3,87.72,85.28,85.87,85.31,80,80,80,77.88,78.87,79.46,79.87,79.15,79.26,78.84,78.84,91.48,92.33,94.03,94.3,94.16,93.91,92.04,91.39,52.29,57.76,63.46,64.62,57.4,79.85,56.55,47.21,76.96,78.47,80,79.03,78.42,79.81,76.65,72.76,16.8,37.2,28.25,24.28,23.43,43.06,27.55,24.9,59.5325,60.2525,3,6,68.96625,69.76125,83.435,79.02125,92.955,59.8925,77.7625,28.18375
taqueria mexico tipico,"Restaurant 1,000 - 2,000 Sqft",4581 mission st,3/1/2015,,1255,1,"4581 mission st, San Francisco, CA, 9411",82680,taqueria mexico tipico,South of Market,84,2018,37.777867,-122.4130596,Census Tract 176.01,6075017601,http://www.sfgate.com/neighborhoods/sf/soma/,3188,49387,25330,2221,25938,2657,25,951,626,894,215,0,139,177,44,319,70,197,247,364,617,641,74,95,2522,334,128,23099,46745,61388,259,60.9,5.9,12.7,2657,31.9,21,30,7.2,10,0,4.7,5.9,1.5,10.7,2.3,6.6,8.3,12.2,20.7,21.5,2.5,3.2,84.5,11.2,4.3,17.8,16.6,18,5.9,6.8,10.1,11.3,9.5,1.8,2.3,7630,41.5,4723,42.8,2907,39,1029,5296,4321,975,4321,407,3914,61.9,38.1,23.8,81.6,18.4,100,9.4,90.6,2015,,3,,peets coffee and tea inc,1,4.1,golden flower vietnamese resta,65.48,75.94,79.15,76.25,72.44,78.97,69.56,76.56,76.85,78.18,78.6,79.72,79.45,78.14,79.18,78.45,85.95,87.37,85.46,85.63,87.45,90.22,85.79,85.4,92.83,93.3,94.5,96.21,92.4,93.17,95.21,93.32,90.67,90.11,92.89,92.13,92.77,91.64,92.11,91.91,74.12,78.87,79.88,79.99,79.98,80,79.99,77.15,80,80.34,90.03,89,91.74,89.38,83.66,79.97,68.55,72.07,75.01,77.2,75.37,70.05,71.78,74.44,78.215,79.28,1,62,74.29375,78.57125,86.65875,93.8675,91.77875,78.7475,85.515,73.05875
dominos #7764,Take-Out Establishment,876 geary st,6/29/2015,,1135,1,"876 geary st, San Francisco, CA, 94109",85781,dominos #7764,Lower Nob Hill,86.5,2018,37.7863106,-122.4176875,Census Tract 122.01,6075012201,"http://en.wikipedia.org/wiki/Nob_Hill,_San_Francisco",2700,44690,30540,1855,28440,2298,26.5,996,885,391,15,0,54,165,52,154,65,73,196,390,422,564,238,60,2117,208,108,31265,51460,57516,167,71.2,9.9,27.8,2298,40.9,36.4,16.1,0.6,6,0,2.2,6.8,2.1,6.3,2.7,3,8.1,16,17.3,23.2,9.8,2.5,87,8.5,4.4,10.7,11.7,13.4,19.4,13,12.3,8,7.9,0.9,2.8,4567,35.6,2717,37.4,1850,33.1,599,2906,2667,239,2667,152,2515,59.5,40.5,22.5,91.8,8.2,100,5.7,94.3,2015,,6,,la altena restaurant no 2,1,4.2,won ton house,53.19,57.18,65.36,61.97,54.78,63.05,52.78,49.11,30.53,33.4,31.93,35.1,37.51,29.25,31.35,27,41.74,43.69,49.79,53.02,50.96,45.34,46.39,39.48,29.85,32.22,31.2,36.11,32.45,34.23,30.92,30.35,37.57,36.52,45.14,48.22,43.78,41.27,37.49,41.23,21.79,9.9,17.95,34.11,35.72,38.93,20.09,12.81,14.98,12.98,18.67,34.57,31.92,21.36,14.32,13.27,21.15,22.88,34.94,38.88,40.52,36.42,26.24,25.78,20.9375,26.8875,4,34,57.1775,32.00875,46.30125,32.16625,41.4025,23.9125,20.25875,30.85125
pho 2000,"Restaurant 1,000 - 2,000 Sqft",637 larkin st,9/14/2015,,1058,1,"637 larkin st, San Francisco, CA, 94109",85176,pho 2000,Tenderloin,68,2017,37.783887,-122.417873,Census Tract 124.02,6075012402,http://www.sfgate.com/neighborhoods/sf/tenderloin/,1439,44595,23441,1570,24228,1219,28.7,489,489,182,72,16,79,75,6,59,10,27,135,166,232,294,153,36,1056,199,33,18908,34463,45318,150,51.9,10.5,20.5,1219,38,38,14.1,5.6,4.3,1.2,6.1,5.8,0.5,4.6,0.8,2.1,10.5,12.9,18,22.8,11.9,2.8,82,15.5,2.6,26.5,19,11.1,10.1,10.5,13.1,5.7,1.6,0.3,2.1,3974,36.8,2410,38.9,1564,34,493,2517,2254,263,2254,94,2160,60.6,39.4,21.9,89.6,10.4,100,4.2,95.8,2015,,9,,thai cafe,2,4.4,muskaan cuisine of india,53.08,64.54,67.27,63.57,69.53,76.04,63.62,57.59,48.73,49.44,55.47,55.45,57.89,50.1,49.25,53.89,91.22,91.58,91.76,92.39,92.68,94.04,91.27,92.12,80,80.14,80,84.39,81.25,81.94,84.15,80,80,79.98,80,85.53,80,80,80,80,62.74,73.55,75.48,76.2,76.23,79.83,72.26,62,61.41,65.99,72.91,73.93,70,67.37,64.73,62.84,80.22,85.49,84.36,92.3,86.73,88.27,86.86,80,71.9925,72.58,1,65,64.405,52.5275,92.1325,81.48375,80.68875,72.28625,67.3975,85.52875
holy grill,"Restaurant 1,000 - 2,000 Sqft",659 townsend st,7/9/2015,,1125,1,"659 townsend st, San Francisco, CA, 94587",85930,holy grill,Showplace Square,80,2017,37.7707036,-122.4028657,Census Tract 607,6075060700,,4334,140303,68338,1798,62050,3894,28.7,2461,369,968,59,0,61,229,109,402,60,533,466,928,712,222,168,112,3311,554,127,104545,131600,140140,30,77.3,7.7,1.4,3894,61.5,9.2,24.2,1.5,3.6,0,1.5,5.7,2.7,10,1.5,13.3,11.6,23.2,17.8,5.5,4.2,2.8,82.7,13.8,3.2,5.7,2.1,9.1,3,8.1,10.7,10.4,18.3,12.3,20.4,9083,33.1,4888,33.8,4195,32.3,1645,4751,4381,370,4381,1506,2875,53.8,46.2,37.5,92.2,7.8,100,34.4,65.6,2015,,7,,angelinas delicafe,1,4.5,the elite cafe,51.82,51.52,57.09,51.69,63.61,59.18,50.99,49.99,71.9,71.76,74.21,68.19,78.81,77.64,72.48,72.07,79.94,80,80,80,80,80,79.96,79.94,74.29,78.88,78.81,79.01,79.33,79.4,78.15,76.71,79.83,79.93,79.99,80,80,80,80,79.96,76.36,75.03,79.22,79,79.34,79.66,74.18,69.6,51.07,63.68,56.26,70.04,57.59,73.04,54.61,54.51,32.92,33.65,35.48,40.42,28.51,35.58,35.69,36.15,77.4025,75.695,1,60,54.48625,73.3825,79.98,78.0725,79.96375,76.54875,60.1,34.8
california bakery,"Restaurant 1,000 - 2,000 Sqft",77 mcallister st,1/1/2015,,1314,1,"77 mcallister st, San Francisco, CA, 94102",82145,california bakery,Civic Center,80,2017,37.7806658,-122.413234,Census Tract 125.01,6075012501,"http://en.wikipedia.org/wiki/Civic_Center,_San_Francisco,_California",1248,35943,13438,1586,21397,895,26.7,193,368,253,62,0,42,0,0,194,32,25,23,47,166,272,90,4,811,50,17,11513,19146,26965,263,40.9,28.3,19.4,895,21.6,41.1,28.3,6.9,2.1,0,4.7,0,0,21.7,3.6,2.8,2.6,5.3,18.5,30.4,10.1,0.4,90.6,5.6,1.9,31.2,32.8,11.4,8.7,4.9,8.1,1.5,1.3,0,0,5335,46.6,3499,48.4,1836,40.1,538,2518,2205,313,2205,55,2150,65.6,34.4,24.4,87.6,12.4,100,2.5,97.5,2015,,1,,sophies crepes,2,4.1,canyon market,59.26,71.38,71.35,67.24,70.33,64.5,62.42,55.98,31.94,50.22,63.76,74.47,55.74,57.88,31.27,52.45,36.51,37.77,38.24,63.14,46.71,45.63,45.15,38.33,36.33,36.33,45.74,40.97,47.73,41.68,38.25,37.92,53.41,51.44,57.03,59.26,59.52,54.92,53.7,54.09,26.2,28.57,15.22,38.71,36.62,34.69,13.45,10.72,10.71,8.87,39.45,53.7,49.98,22.32,14.72,9.07,15.54,17.1,17.87,18.96,22.77,15.91,20.36,13.48,27.175,23.87,1,7,65.3075,52.21625,43.935,40.61875,55.42125,25.5225,26.1025,17.74875
bellissimo pizza,"Restaurant Less Than 1,000 Sqft",920 sutter st,6/8/2015,,1156,1,"920 sutter st, San Francisco, CA, 94109",83655,bellissimo pizza,Lower Nob Hill,89.5,2018,37.7884404,-122.4156201,Census Tract 120,6075012000,"http://en.wikipedia.org/wiki/Nob_Hill,_San_Francisco",2367,48212,32947,1973,32987,2075,23.5,751,479,727,52,0,53,53,0,342,99,30,171,321,319,615,119,0,1869,114,139,33703,47968,56955,162,67.9,10.4,23.9,2075,35.4,22.6,34.3,2.5,5.3,0,2.5,2.5,0,16.1,4.7,1.4,8.1,15.1,15,29,5.6,0,88.1,5.4,6.6,22.1,9.7,11.6,9.5,12.3,15.3,9.5,4.5,1.7,3.9,3833,36.4,2149,39.1,1684,32.6,394,2796,2546,250,2546,33,2513,56.1,43.9,15.5,91.1,8.9,100,1.3,98.7,2015,,6,,church street cafe,1,4.1,bullshead restaurant,41.84,46.76,50.29,45.02,51.51,46.52,43.08,41.39,61.98,70.35,63.19,50.01,54.24,49.2,62.56,62.12,33.05,33.2,35.74,40.43,37.83,39.11,30.65,32.94,22.72,31.07,24.14,24.87,23.81,26.71,25.16,24.22,44.56,38.97,43.22,45.23,45.65,41.67,42.1,44.81,31.58,6.95,12.45,29.8,35.94,20.64,13.19,22.23,9.9,7.55,24.66,14.12,12.29,8.83,9.74,9.38,8.21,7.09,9.37,12.27,11.16,8.78,7.13,6.38,20.195,23,3,34,45.80125,59.20625,35.36875,25.3375,43.27625,21.5975,12.05875,8.79875
jelly donuts,,3198 24th st,8/13/2015,,1090,1,"3198 24th st, San Francisco, CA, 9411",38929,jelly donut,Mission,79.5,2018,37.752439,-122.41625,Census Tract 229.01,6075022901,http://www.sfgate.com/neighborhoods/sf/mission/,2768,60648,29470,742,31537,2380,27.4,912,590,521,163,12,151,185,75,246,19,224,165,255,378,557,141,29,1899,252,286,50493,75614,80572,59,77.1,12,14.4,2380,37.4,24.2,21.4,6.7,10.3,0.5,6.2,7.6,3.1,10.1,0.8,9.2,6.8,10.5,15.5,22.9,5.8,1.2,77.9,10.3,11.7,5.9,3.1,14.8,10.7,15,21.9,7,6.9,8.5,6.3,4640,31.6,2464,31.1,2176,32.4,786,1500,1410,90,1410,276,1134,53.1,46.9,55.7,94,6,100,19.6,80.4,2015,,8,,b restaurant,2,4.1,sugar lounge,67.02,67.29,75.5,78.18,75.71,74.98,69.19,70.91,65.32,63.41,67.04,70.08,74.66,73.05,71.57,67.83,80,80,80,80.19,80,80,80,79.98,88.61,91.75,92.2,92.61,91.15,92.33,91.41,90.82,92.17,92.63,95.48,95.06,95.25,93.31,93.95,92.89,76.93,74.84,78.42,78.72,79.71,80,74.45,69.84,84.85,80,89.18,87.65,91.52,92.37,80,79.94,16.63,28.29,41.99,43.98,57.58,43.77,36.6,48.92,77.2275,76,-1,38,72.3475,69.12,80.02125,91.36,93.8425,76.61375,85.68875,39.72
vietnam house,"Restaurant Less Than 1,000 Sqft",642 eddy st,1/8/2015,,1307,1,"642 eddy st, San Francisco, CA, 94109",81839,vietnam house,Tenderloin,70.5,2017,37.7834741,-122.4183574,Census Tract 124.02,6075012402,http://www.sfgate.com/neighborhoods/sf/tenderloin/,1439,44595,23441,1570,24228,1219,28.7,489,489,182,72,16,79,75,6,59,10,27,135,166,232,294,153,36,1056,199,33,18908,34463,45318,150,51.9,10.5,20.5,1219,38,38,14.1,5.6,4.3,1.2,6.1,5.8,0.5,4.6,0.8,2.1,10.5,12.9,18,22.8,11.9,2.8,82,15.5,2.6,26.5,19,11.1,10.1,10.5,13.1,5.7,1.6,0.3,2.1,3974,36.8,2410,38.9,1564,34,493,2517,2254,263,2254,94,2160,60.6,39.4,21.9,89.6,10.4,100,4.2,95.8,2015,,1,,hing wang bakery co inc,1,4.2,frog hollow farm,45.98,65.93,65.23,59.45,68.38,76.33,62.75,53.74,48.28,48.71,54.77,52.1,59.68,52.37,48.98,54.35,84.83,86,85.68,86.44,87.7,90.12,85.58,85.71,80,80,79.87,81.31,80,80,82.33,80,79.78,79.5,79.96,80,79.92,79.9,79.85,79.87,55.1,69.72,74.87,72.4,74.62,79.28,70.94,56.18,51.45,57.43,66.13,67.11,64.81,62.19,56.97,52.17,81.01,87.41,87.95,93.43,89.39,90.93,88.48,80.25,68.0225,70.255,3,65,62.22375,52.405,86.5075,80.43875,79.8475,69.13875,59.7825,87.35625
