alias,categories,display_phone,image_url,is_closed,location,name,price,rating,review_count,transactions,url,lat,long
la-mar-cebichería-peruana-san-francisco-4,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'peruvian', 'title': 'Peruvian'}]",(415) 397-8880,https://s3-media2.fl.yelpcdn.com/bphoto/2gAijMp_chiTNQJaVc_1IQ/o.jpg,False,"{'address1': 'Pier 1 1/2 The Embarcadero', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94111', 'country': 'US', 'state': 'CA', 'display_address': ['Pier 1 1/2 The Embarcadero', 'San Francisco, CA 94111']}",La Mar Cebichería Peruana,$$$,4.0,3329,[],https://www.yelp.com/biz/la-mar-cebicher%C3%ADa-peruana-san-francisco-4?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7974182368553, -122.395129846558
cha-cha-cha-san-francisco-4,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",(415) 386-7670,https://s3-media3.fl.yelpcdn.com/bphoto/eyIYVHXn26PnivmLZ5NBGg/o.jpg,False,"{'address1': '1801 Haight St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94117', 'country': 'US', 'state': 'CA', 'display_address': ['1801 Haight St', 'San Francisco, CA 94117']}",Cha Cha Cha,$$,4.0,3030,[],https://www.yelp.com/biz/cha-cha-cha-san-francisco-4?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7691434, -122.4520399
tacorea-san-francisco,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'latin', 'title': 'Latin American'}]",(415) 885-1325,https://s3-media2.fl.yelpcdn.com/bphoto/rHxbA24tQgh8eIDrHGhCOA/o.jpg,False,"{'address1': '809 Bush St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94108', 'country': 'US', 'state': 'CA', 'display_address': ['809 Bush St', 'San Francisco, CA 94108']}",Tacorea,$,4.5,1165,[],https://www.yelp.com/biz/tacorea-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7897794, -122.410717
little-star-pizza-san-francisco-4,"[{'alias': 'pizza', 'title': 'Pizza'}]",(415) 551-7827,https://s3-media1.fl.yelpcdn.com/bphoto/5ijxMs8NmErAIAY2B10yTw/o.jpg,False,"{'address1': '400 Valencia St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['400 Valencia St', 'San Francisco, CA 94103']}",Little Star Pizza,$$,4.0,1923,"['restaurant_reservation', 'pickup']",https://www.yelp.com/biz/little-star-pizza-san-francisco-4?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7662598870271, -122.422120973633
super-duper-burgers-san-francisco-3,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",(415) 538-3437,https://s3-media4.fl.yelpcdn.com/bphoto/cIH_FO2pXX0fXir4LGebxQ/o.jpg,False,"{'address1': '721 Market St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['721 Market St', 'San Francisco, CA 94103']}",Super Duper Burgers,$$,4.0,2493,[],https://www.yelp.com/biz/super-duper-burgers-san-francisco-3?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7868540659939, -122.403968274593
the-slanted-door-san-francisco,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'bars', 'title': 'Bars'}]",(415) 861-8032,https://s3-media1.fl.yelpcdn.com/bphoto/1xAl3sbCi8R4qY0hNJuHZA/o.jpg,False,"{'address1': '1 Ferry Bldg', 'address2': 'Ste 3', 'address3': '', 'city': 'San Francisco', 'zip_code': '94111', 'country': 'US', 'state': 'CA', 'display_address': ['1 Ferry Bldg', 'Ste 3', 'San Francisco, CA 94111']}",The Slanted Door,$$$,3.5,5227,[],https://www.yelp.com/biz/the-slanted-door-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7961824442073, -122.39369675517
lers-ros-san-francisco-2,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",(415) 931-6917,https://s3-media4.fl.yelpcdn.com/bphoto/13Nc-oeTitjbxTMd55ogcQ/o.jpg,False,"{'address1': '730 Larkin St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['730 Larkin St', 'San Francisco, CA 94109']}",Lers Ros,$$,4.0,2053,['delivery'],https://www.yelp.com/biz/lers-ros-san-francisco-2?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.784703, -122.417566
thanh-long-san-francisco,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]",(415) 665-1146,https://s3-media4.fl.yelpcdn.com/bphoto/ukHLQEd1wnsLjqtRRCs6hw/o.jpg,False,"{'address1': '4101 Judah St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['4101 Judah St', 'San Francisco, CA 94122']}",Thanh Long,$$$,4.0,2305,['restaurant_reservation'],https://www.yelp.com/biz/thanh-long-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.76017, -122.50609
r-and-g-lounge-san-francisco,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'seafood', 'title': 'Seafood'}]",(415) 982-7877,https://s3-media4.fl.yelpcdn.com/bphoto/NY9iq6fA_WdkIuFd52dBHQ/o.jpg,False,"{'address1': '631 Kearny St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94108', 'country': 'US', 'state': 'CA', 'display_address': ['631 Kearny St', 'San Francisco, CA 94108']}",R&G Lounge,$$,3.5,4017,[],https://www.yelp.com/biz/r-and-g-lounge-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7941240989441, -122.404937406342
woodhouse-fish-company-san-francisco-3,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'newamerican', 'title': 'American (New)'}]",(415) 437-2722,https://s3-media1.fl.yelpcdn.com/bphoto/VW2sQJjK5czsG2ZPL18_zQ/o.jpg,False,"{'address1': '1914 Fillmore St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['1914 Fillmore St', 'San Francisco, CA 94115']}",Woodhouse Fish Company,$$,4.0,2029,[],https://www.yelp.com/biz/woodhouse-fish-company-san-francisco-3?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.78742, -122.43327
isa-restaurant-san-francisco,"[{'alias': 'french', 'title': 'French'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",(415) 567-9588,https://s3-media2.fl.yelpcdn.com/bphoto/fWR0Hlg7j0dr4EQrOmbK5g/o.jpg,False,"{'address1': '3324 Steiner St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94123', 'country': 'US', 'state': 'CA', 'display_address': ['3324 Steiner St', 'San Francisco, CA 94123']}",Isa Restaurant,$$$,4.0,1904,"['restaurant_reservation', 'pickup']",https://www.yelp.com/biz/isa-restaurant-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.8001099, -122.43749
don-pistos-san-francisco-2,"[{'alias': 'mexican', 'title': 'Mexican'}]",(415) 395-0939,https://s3-media2.fl.yelpcdn.com/bphoto/9oDu7WFzaLXhNblXfvr1NA/o.jpg,False,"{'address1': '510 Union St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['510 Union St', 'San Francisco, CA 94133']}",Don Pisto's,$$,4.0,1675,[],https://www.yelp.com/biz/don-pistos-san-francisco-2?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.80078, -122.40784
roli-roti-gourmet-rotisserie-san-francisco,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'gourmet', 'title': 'Specialty Food'}]",(510) 780-0300,https://s3-media1.fl.yelpcdn.com/bphoto/LN8xFFUFNvdKEwgyZshzfg/o.jpg,False,"{'address1': '1 Ferry Bldg', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94105', 'country': 'US', 'state': 'CA', 'display_address': ['1 Ferry Bldg', 'San Francisco, CA 94105']}",Roli Roti Gourmet Rotisserie,$,4.5,1367,[],https://www.yelp.com/biz/roli-roti-gourmet-rotisserie-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.795398235987, -122.392534017563
mandalay-san-francisco,"[{'alias': 'burmese', 'title': 'Burmese'}]",(415) 386-3896,https://s3-media3.fl.yelpcdn.com/bphoto/q_L7VpQUya-f-191ZMcnLg/o.jpg,False,"{'address1': '4348 California St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['4348 California St', 'San Francisco, CA 94118']}",Mandalay,$$,4.0,1937,['restaurant_reservation'],https://www.yelp.com/biz/mandalay-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7851484, -122.4643918
roxie-food-center-san-francisco,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",(415) 587-2345,https://s3-media4.fl.yelpcdn.com/bphoto/hTiYljWYX3vT9ttur_eohg/o.jpg,False,"{'address1': '1901 San Jose Ave', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94112', 'country': 'US', 'state': 'CA', 'display_address': ['1901 San Jose Ave', 'San Francisco, CA 94112']}",Roxie Food Center,$,4.5,925,"['delivery', 'pickup']",https://www.yelp.com/biz/roxie-food-center-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7267302, -122.4414182
spruce-san-francisco,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]",(415) 931-5100,https://s3-media4.fl.yelpcdn.com/bphoto/tvg0xlda6LoH-NXEWbC9hA/o.jpg,False,"{'address1': '3640 Sacramento St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['3640 Sacramento St', 'San Francisco, CA 94118']}",Spruce,$$$$,4.0,1753,[],https://www.yelp.com/biz/spruce-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.787621, -122.452734
the-chairman-truck-san-francisco,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'taiwanese', 'title': 'Taiwanese'}]",(415) 813-8800,https://s3-media1.fl.yelpcdn.com/bphoto/TrHj0TTw-MZotqdhlPkWJw/o.jpg,False,"{'address1': '670 Larkin Ste', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['670 Larkin Ste', 'San Francisco, CA 94102']}",The Chairman Truck,$,4.0,1381,[],https://www.yelp.com/biz/the-chairman-truck-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.78404, -122.4175
garaje-san-francisco,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",(415) 644-0838,https://s3-media2.fl.yelpcdn.com/bphoto/_nN_DhLXkfwEkwPNxne9hw/o.jpg,False,"{'address1': '475 3rd St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['475 3rd St', 'San Francisco, CA 94107']}",Garaje,$$,4.5,1367,[],https://www.yelp.com/biz/garaje-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.781752952057, -122.396121970462
ppq-dungeness-island-san-francisco-2,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",(415) 386-8266,https://s3-media2.fl.yelpcdn.com/bphoto/2-j9zyksMuwMEuhWZNyN5Q/o.jpg,False,"{'address1': '2332 Clement St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94121', 'country': 'US', 'state': 'CA', 'display_address': ['2332 Clement St', 'San Francisco, CA 94121']}",PPQ Dungeness Island,$$,4.0,2781,[],https://www.yelp.com/biz/ppq-dungeness-island-san-francisco-2?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.78233, -122.484454
kusakabe-san-francisco,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",(415) 757-0155,https://s3-media3.fl.yelpcdn.com/bphoto/QyStYrXW-MaOo4IcP9a-HQ/o.jpg,False,"{'address1': '584 Washington St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94111', 'country': 'US', 'state': 'CA', 'display_address': ['584 Washington St', 'San Francisco, CA 94111']}",KUSAKABE,$$$$,4.5,730,[],https://www.yelp.com/biz/kusakabe-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7957017702111, -122.402884835582
belly-good-cafe-and-crepes-san-francisco,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'creperies', 'title': 'Creperies'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",(415) 346-8383,https://s3-media4.fl.yelpcdn.com/bphoto/K3wZB8S990uh9rAwd-tQtQ/o.jpg,False,"{'address1': '1737 Post St', 'address2': 'Ste 393', 'address3': '', 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['1737 Post St', 'Ste 393', 'San Francisco, CA 94115']}",Belly Good Cafe & Crepes,$,4.5,1193,[],https://www.yelp.com/biz/belly-good-cafe-and-crepes-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.785354, -122.4303915
è-tutto-qua-san-francisco-2,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'pizza', 'title': 'Pizza'}]",(415) 989-1002,https://s3-media2.fl.yelpcdn.com/bphoto/lzjPKe_-LOoLcPgN8lGZ2A/o.jpg,False,"{'address1': '270 Columbus Ave', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['270 Columbus Ave', 'San Francisco, CA 94133']}",È Tutto Qua,$$,4.0,1898,[],https://www.yelp.com/biz/%C3%A8-tutto-qua-san-francisco-2?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7977599, -122.40625
delfina-san-francisco,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",(415) 552-4055,https://s3-media2.fl.yelpcdn.com/bphoto/0UbRqzsQZbGVj2QdCeb4cg/o.jpg,False,"{'address1': '3621 18th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['3621 18th St', 'San Francisco, CA 94110']}",Delfina,$$$,4.0,1924,[],https://www.yelp.com/biz/delfina-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.76131, -122.42431
