"business_id","date","description"
61,"20150827","Unclean nonfood contact surfaces  [ date violation corrected: 7/8/2016 ]"
61,"20150827","Foods not protected from contamination  [ date violation corrected: 7/8/2016 ]"
66,"20180420","Unclean or degraded floors walls or ceilings"
66,"20170703","Unclean or degraded floors walls or ceilings  [ date violation corrected: 4/20/2018 ]"
66,"20170703","Inadequate warewashing facilities or equipment  [ date violation corrected: 4/20/2018 ]"
66,"20160322","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 9/2/2016 ]"
67,"20180220","Moderate risk food holding temperature   [ date violation corrected: 3/2/2018 ]"
67,"20180220","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 3/2/2018 ]"
67,"20180220","Moderate risk vermin infestation  [ date violation corrected: 3/2/2018 ]"
67,"20180220","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/2/2018 ]"
67,"20170804","High risk vermin infestation  [ date violation corrected: 8/4/2017 ]"
67,"20170804","Improper or defective plumbing  [ date violation corrected: 8/4/2017 ]"
67,"20170804","Moderate risk food holding temperature   [ date violation corrected: 8/4/2017 ]"
67,"20170804","Unclean nonfood contact surfaces  [ date violation corrected: 8/4/2017 ]"
67,"20170804","Improper food storage  [ date violation corrected: 8/4/2017 ]"
67,"20170804","Inadequate ventilation or lighting  [ date violation corrected: 10/23/2017 ]"
67,"20161019","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 10/19/2016 ]"
67,"20161019","Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/4/2017 ]"
67,"20160401","Low risk vermin infestation  [ date violation corrected: 10/19/2016 ]"
67,"20160401","Unclean or unsanitary food contact surfaces  [ date violation corrected: 4/8/2016 ]"
67,"20160401","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 10/19/2016 ]"
67,"20160401","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/19/2016 ]"
73,"20171129","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 12/7/2017 ]"
73,"20171129","Moderate risk vermin infestation  [ date violation corrected: 12/7/2017 ]"
73,"20171129","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 12/7/2017 ]"
73,"20171129","Improper or defective plumbing  [ date violation corrected: 12/7/2017 ]"
73,"20160927","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/17/2016 ]"
73,"20160927","Moderate risk vermin infestation  [ date violation corrected: 10/17/2016 ]"
73,"20160927","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 10/17/2016 ]"
76,"20161005","Unclean or degraded floors walls or ceilings  [ date violation corrected: 11/1/2017 ]"
77,"20171101","Inadequately cleaned or sanitized food contact surfaces"
77,"20171101","Improper food storage"
77,"20161005","Improper food storage  [ date violation corrected: 11/1/2017 ]"
77,"20161005","Unclean or degraded floors walls or ceilings  [ date violation corrected: 11/1/2017 ]"
77,"20160311","High risk food holding temperature   [ date violation corrected: 10/5/2016 ]"
77,"20160311","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 10/5/2016 ]"
80,"20171204","Food safety certificate or food handler card not available"
80,"20171204","Other low risk violation"
80,"20160412","Improper food storage  [ date violation corrected: 12/4/2017 ]"
81,"20171205","Other low risk violation"
88,"20180619","High risk food holding temperature   [ date violation corrected: 6/26/2018 ]"
88,"20180619","Low risk vermin infestation  [ date violation corrected: 6/26/2018 ]"
88,"20180619","Improper cooling methods  [ date violation corrected: 6/26/2018 ]"
88,"20171016","High risk food holding temperature   [ date violation corrected: 10/25/2017 ]"
88,"20171016","Improper reheating of food  [ date violation corrected: 10/25/2017 ]"
88,"20171016","Permit license or inspection report not posted  [ date violation corrected: 10/25/2017 ]"
88,"20171016","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/25/2017 ]"
88,"20170111","Unclean nonfood contact surfaces  [ date violation corrected: 10/16/2017 ]"
88,"20170111","Improper food storage  [ date violation corrected: 10/16/2017 ]"
88,"20170111","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 10/16/2017 ]"
88,"20150824","High risk food holding temperature   [ date violation corrected: 10/6/2015 ]"
88,"20150824","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/6/2015 ]"
88,"20150824","Permit license or inspection report not posted  [ date violation corrected: 10/6/2015 ]"
95,"20180509","Low risk vermin infestation"
95,"20180509","Unclean nonfood contact surfaces"
95,"20180509","Unclean or degraded floors walls or ceilings"
95,"20180509","Wiping cloths not clean or properly stored or inadequate sanitizer"
95,"20171016","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 3/26/2018 ]"
95,"20171016","High risk vermin infestation  [ date violation corrected: 3/26/2018 ]"
95,"20171016","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/26/2018 ]"
95,"20171016","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 3/26/2018 ]"
95,"20170307","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 9/26/2017 ]"
95,"20170307","Inadequate warewashing facilities or equipment  [ date violation corrected: 9/26/2017 ]"
95,"20170307","Unclean or degraded floors walls or ceilings  [ date violation corrected: 9/26/2017 ]"
95,"20170307","Unclean nonfood contact surfaces  [ date violation corrected: 9/26/2017 ]"
95,"20160718","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/29/2016 ]"
95,"20160718","Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/29/2016 ]"
95,"20160718","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 8/29/2016 ]"
95,"20160718","Moderate risk vermin infestation  [ date violation corrected: 8/29/2016 ]"
95,"20160718","Unclean nonfood contact surfaces  [ date violation corrected: 8/29/2016 ]"
95,"20151210","Moderate risk vermin infestation  [ date violation corrected: 6/28/2016 ]"
95,"20151210","Unclean nonfood contact surfaces  [ date violation corrected: 6/28/2016 ]"
95,"20151210","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 6/28/2016 ]"
95,"20151210","Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/28/2016 ]"
98,"20171003","Inadequate and inaccessible handwashing facilities"
98,"20171003","Unclean or degraded floors walls or ceilings"
98,"20160316","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 10/3/2017 ]"
99,"20171207","Non service animal"
99,"20171207","Moderate risk vermin infestation"
99,"20171207","Unapproved  living quarters in food facility"
99,"20171207","Inadequately cleaned or sanitized food contact surfaces"
99,"20171207","Foods not protected from contamination"
99,"20171207","Improper food storage"
99,"20150811","Moderate risk vermin infestation  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Improper storage of equipment utensils or linens  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Inadequate ventilation or lighting  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Improper thawing methods   [ date violation corrected: 8/18/2015 ]"
99,"20150811","Foods not protected from contamination  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Improper food storage  [ date violation corrected: 8/18/2015 ]"
101,"20180129","Inadequate food safety knowledge or lack of certified food safety manager"
101,"20180129","Insufficient hot water or running water  [ date violation corrected: 1/29/2018 ]"
101,"20170627","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 1/29/2018 ]"
101,"20170627","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 1/29/2018 ]"
101,"20170627","Insufficient hot water or running water  [ date violation corrected: 1/29/2018 ]"
101,"20160525","Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/27/2017 ]"
102,"20180302","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 3/13/2018 ]"
102,"20180302","Inadequate ventilation or lighting  [ date violation corrected: 3/13/2018 ]"
102,"20180302","Foods not protected from contamination  [ date violation corrected: 3/13/2018 ]"
102,"20180302","Insufficient hot water or running water  [ date violation corrected: 3/13/2018 ]"
102,"20170728","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 3/2/2018 ]"
102,"20170728","Moderate risk food holding temperature   [ date violation corrected: 3/2/2018 ]"
102,"20161103","Unclean nonfood contact surfaces  [ date violation corrected: 7/28/2017 ]"
102,"20161103","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 7/28/2017 ]"
102,"20161103","Unclean or unsanitary food contact surfaces  [ date violation corrected: 11/3/2016 ]"
102,"20161103","Food safety certificate or food handler card not available  [ date violation corrected: 7/28/2017 ]"
108,"20170106","Food safety certificate or food handler card not available  [ date violation corrected: 6/4/2018 ]"
108,"20170106","Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/4/2018 ]"
116,"20170509","Moderate risk food holding temperature   [ date violation corrected: 5/9/2017 ]"
116,"20160527","Food safety certificate or food handler card not available  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Employee eating or smoking  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Unclean or unsanitary food contact surfaces  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Improper cooling methods  [ date violation corrected: 5/9/2017 ]"
116,"20160527","Permit license or inspection report not posted  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Improper or defective plumbing  [ date violation corrected: 6/10/2016 ]"
121,"20180514","Moderate risk vermin infestation  [ date violation corrected: 6/1/2018 ]"
121,"20180514","Permit license or inspection report not posted  [ date violation corrected: 6/1/2018 ]"
121,"20180514","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 5/14/2018 ]"
121,"20170418","Noncompliance with HAACP plan or variance  [ date violation corrected: 5/14/2018 ]"
121,"20170418","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 5/14/2018 ]"
121,"20170418","Improper or defective plumbing  [ date violation corrected: 5/14/2018 ]"
121,"20151020","Moderate risk vermin infestation  [ date violation corrected: 10/29/2015 ]"
121,"20151020","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 10/29/2015 ]"
121,"20151020","Improper storage use or identification of toxic substances  [ date violation corrected: 10/29/2015 ]"
121,"20151020","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 10/29/2015 ]"
125,"20170719","Inadequately cleaned or sanitized food contact surfaces"
125,"20170719","Unapproved or unmaintained equipment or utensils"
125,"20170719","Low risk vermin infestation"
125,"20170719","Improper or defective plumbing"
125,"20160520","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 7/19/2017 ]"
125,"20160520","Low risk vermin infestation  [ date violation corrected: 7/19/2017 ]"
125,"20160520","Unclean or degraded floors walls or ceilings  [ date violation corrected: 7/19/2017 ]"
134,"20180605","High risk food holding temperature "
134,"20180524","Improper cooling methods  [ date violation corrected: 6/5/2018 ]"
134,"20180524","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 6/5/2018 ]"
134,"20180524","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 6/5/2018 ]"
134,"20170214","No hot water or running water  [ date violation corrected: 2/15/2017 ]"
134,"20150806","Improper storage of equipment utensils or linens  [ date violation corrected: 2/14/2017 ]"
140,"20180105","Moderate risk food holding temperature "
140,"20180105","Permit license or inspection report not posted"
140,"20180105","Moderate risk vermin infestation"
140,"20180105","Inadequately cleaned or sanitized food contact surfaces"
140,"20171011","Unclean or unsanitary food contact surfaces  [ date violation corrected: 10/18/2017 ]"
140,"20171011","Improper food storage  [ date violation corrected: 10/18/2017 ]"
140,"20171011","Inadequate warewashing facilities or equipment  [ date violation corrected: 10/18/2017 ]"
140,"20171011","Insufficient hot water or running water  [ date violation corrected: 12/31/2017 ]"
140,"20171011","Moderate risk vermin infestation  [ date violation corrected: 10/18/2017 ]"
140,"20171011","Moderate risk food holding temperature   [ date violation corrected: 10/18/2017 ]"
140,"20160414","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 5/20/2016 ]"
140,"20160414","Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/20/2016 ]"
140,"20160414","Permit license or inspection report not posted  [ date violation corrected: 4/14/2016 ]"
140,"20160414","High risk food holding temperature   [ date violation corrected: 4/14/2016 ]"
146,"20180315","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 4/13/2018 ]"
146,"20180315","Moderate risk food holding temperature   [ date violation corrected: 4/13/2018 ]"
146,"20180315","Moderate risk vermin infestation  [ date violation corrected: 4/13/2018 ]"
146,"20180315","Improper food storage  [ date violation corrected: 4/13/2018 ]"
146,"20180315","Unclean hands or improper use of gloves  [ date violation corrected: 4/13/2018 ]"
146,"20161017","Moderate risk food holding temperature   [ date violation corrected: 3/15/2018 ]"
146,"20161017","Improper food storage  [ date violation corrected: 3/15/2018 ]"
146,"20161017","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 3/15/2018 ]"
146,"20161017","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 3/15/2018 ]"
146,"20161017","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/15/2018 ]"
146,"20160407","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 10/17/2016 ]"
146,"20160407","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 10/17/2016 ]"
146,"20160407","Low risk vermin infestation  [ date violation corrected: 10/17/2016 ]"
146,"20160407","Foods not protected from contamination  [ date violation corrected: 10/17/2016 ]"
146,"20160407","Moderate risk food holding temperature   [ date violation corrected: 10/17/2016 ]"
151,"20180514","Insufficient hot water or running water"
151,"20180514","Improper food storage"
151,"20180514","Unclean hands or improper use of gloves  [ date violation corrected: 5/14/2018 ]"
151,"20180514","Unapproved or unmaintained equipment or utensils"
151,"20180514","Moderate risk food holding temperature   [ date violation corrected: 5/14/2018 ]"
151,"20160726","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 5/14/2018 ]"
151,"20160726","Insufficient hot water or running water  [ date violation corrected: 5/14/2018 ]"
155,"20170227","Foods not protected from contamination  [ date violation corrected: 5/4/2017 ]"
155,"20170227","High risk vermin infestation  [ date violation corrected: 5/4/2017 ]"
155,"20170227","Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/4/2017 ]"
155,"20170227","Moderate risk food holding temperature   [ date violation corrected: 5/4/2017 ]"
155,"20170227","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 5/4/2017 ]"
155,"20151229","High risk vermin infestation  [ date violation corrected: 2/27/2017 ]"
164,"20170908","Moderate risk food holding temperature "
164,"20170908","Inadequately cleaned or sanitized food contact surfaces"
164,"20170908","Inadequate warewashing facilities or equipment"
164,"20170908","Unclean hands or improper use of gloves  [ date violation corrected: 9/8/2017 ]"
164,"20161110","High risk food holding temperature   [ date violation corrected: 9/8/2017 ]"
164,"20161110","Permit license or inspection report not posted  [ date violation corrected: 9/8/2017 ]"
164,"20161110","Discharge from employee nose mouth or eye  [ date violation corrected: 9/8/2017 ]"
164,"20151106","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 11/10/2016 ]"
164,"20151106","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 11/10/2016 ]"
184,"20180213","Food safety certificate or food handler card not available"
184,"20180213","Moderate risk vermin infestation  [ date violation corrected: 3/29/2018 ]"
184,"20180213","Insufficient hot water or running water  [ date violation corrected: 3/29/2018 ]"
184,"20161003","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 2/13/2018 ]"
187,"20171128","Moderate risk food holding temperature   [ date violation corrected: 11/28/2017 ]"
187,"20170210","Moderate risk food holding temperature   [ date violation corrected: 11/28/2017 ]"
187,"20170210","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 11/28/2017 ]"
187,"20160511","Moderate risk food holding temperature   [ date violation corrected: 2/10/2017 ]"
187,"20160511","Improper reheating of food  [ date violation corrected: 5/11/2016 ]"
192,"20180403","Unclean or degraded floors walls or ceilings"
192,"20180403","Unapproved or unmaintained equipment or utensils"
192,"20180403","Improper storage of equipment utensils or linens"
192,"20170626","High risk food holding temperature   [ date violation corrected: 8/7/2017 ]"
192,"20170626","Unclean or unsanitary food contact surfaces  [ date violation corrected: 8/7/2017 ]"
192,"20160628","Moderate risk vermin infestation  [ date violation corrected: 6/26/2017 ]"
192,"20160628","Improper food storage  [ date violation corrected: 6/26/2017 ]"
192,"20160628","Moderate risk food holding temperature   [ date violation corrected: 6/26/2017 ]"
194,"20170919","Improper storage use or identification of toxic substances  [ date violation corrected: 10/10/2017 ]"
194,"20170919","Moderate risk food holding temperature   [ date violation corrected: 10/10/2017 ]"
194,"20170919","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 10/10/2017 ]"
194,"20170919","Moderate risk vermin infestation  [ date violation corrected: 10/17/2017 ]"
194,"20170919","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/17/2017 ]"
194,"20170919","Improper storage of equipment utensils or linens  [ date violation corrected: 10/10/2017 ]"
198,"20171129","Food safety certificate or food handler card not available"
198,"20171129","Inadequately cleaned or sanitized food contact surfaces"
198,"20170130","Improper thawing methods   [ date violation corrected: 11/29/2017 ]"
198,"20170130","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 11/29/2017 ]"
198,"20151029","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 1/30/2017 ]"
198,"20151029","Moderate risk food holding temperature   [ date violation corrected: 1/30/2017 ]"
200,"20170104","Inadequate and inaccessible handwashing facilities"
200,"20170104","Inadequate ventilation or lighting"
200,"20170104","Inadequate food safety knowledge or lack of certified food safety manager"
200,"20170104","Unapproved or unmaintained equipment or utensils"
200,"20151001","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 1/4/2017 ]"
200,"20151001","Moderate risk food holding temperature   [ date violation corrected: 1/4/2017 ]"
208,"20170731","Unclean or degraded floors walls or ceilings"
208,"20170731","Inadequately cleaned or sanitized food contact surfaces"
208,"20170731","Moderate risk food holding temperature "
208,"20151007","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 7/31/2017 ]"
208,"20151007","Moderate risk food holding temperature   [ date violation corrected: 7/31/2017 ]"
208,"20151007","Low risk vermin infestation  [ date violation corrected: 7/31/2017 ]"
216,"20180629","Moderate risk food holding temperature "
216,"20180629","Unapproved or unmaintained equipment or utensils"
216,"20170629","Moderate risk food holding temperature   [ date violation corrected: 6/29/2018 ]"
216,"20170629","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 6/29/2018 ]"
217,"20180316","Unclean nonfood contact surfaces"
217,"20180316","Unclean or degraded floors walls or ceilings"
217,"20180316","Moderate risk food holding temperature "
217,"20170925","High risk food holding temperature   [ date violation corrected: 2/27/2018 ]"
217,"20170330","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/29/2017 ]"
217,"20170330","Unclean nonfood contact surfaces  [ date violation corrected: 8/29/2017 ]"
217,"20170330","Moderate risk vermin infestation  [ date violation corrected: 8/29/2017 ]"
217,"20160912","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 3/26/2017 ]"
217,"20160912","Moderate risk food holding temperature   [ date violation corrected: 3/26/2017 ]"
217,"20160912","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/26/2017 ]"
217,"20160912","Improper storage of equipment utensils or linens  [ date violation corrected: 3/26/2017 ]"
217,"20160329","Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/29/2016 ]"
217,"20160329","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/29/2016 ]"
217,"20160329","Unclean nonfood contact surfaces  [ date violation corrected: 8/29/2016 ]"
217,"20150818","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/3/2016 ]"
217,"20150818","Improper storage of equipment utensils or linens  [ date violation corrected: 3/3/2016 ]"
217,"20150818","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 3/3/2016 ]"
226,"20180319","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 3/19/2018 ]"
226,"20180319","Unapproved or unmaintained equipment or utensils"
226,"20180319","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 3/19/2018 ]"
226,"20180319","Improper thawing methods   [ date violation corrected: 3/19/2018 ]"
226,"20160523","Improper or defective plumbing  [ date violation corrected: 6/27/2016 ]"
226,"20160523","Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/27/2016 ]"
226,"20160523","Unclean or unsanitary food contact surfaces  [ date violation corrected: 6/27/2016 ]"
226,"20160523","Improper cooling methods  [ date violation corrected: 3/19/2018 ]"
231,"20170601","Moderate risk vermin infestation  [ date violation corrected: 6/28/2017 ]"
231,"20170601","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 6/28/2017 ]"
231,"20170601","Improper food storage  [ date violation corrected: 6/28/2017 ]"
231,"20160301","Foods not protected from contamination  [ date violation corrected: 3/16/2016 ]"
231,"20160301","Improper food storage  [ date violation corrected: 3/16/2016 ]"
231,"20160301","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/16/2016 ]"
231,"20160301","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 3/16/2016 ]"
231,"20160301","Inadequate warewashing facilities or equipment  [ date violation corrected: 3/16/2016 ]"
236,"20180615","High risk vermin infestation  [ date violation corrected: 6/29/2018 ]"
236,"20161017","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 6/15/2018 ]"
236,"20161017","Permit license or inspection report not posted  [ date violation corrected: 6/15/2018 ]"
236,"20151214","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/17/2016 ]"
236,"20151214","Moderate risk vermin infestation  [ date violation corrected: 10/17/2016 ]"
239,"20171207","Foods not protected from contamination"
